course_title,course_organization,course_certificate_type,course_time,course_rating,course_reviews_num,course_difficulty,course_url,course_students_enrolled,course_skills
Applied Data Science with R,IBM,Specialization,3 - 6 Months,4.5,33.5k,Beginner,https://www.coursera.org/specializations/applied-data-science-r,392217.0,"['Shiny Dashboards', 'Data Analysis and Modelling', 'R Programmin Language', 'Data Visualization (DataViz)', 'SQL RDBMS']"
Applied Software Engineering Fundamentals,IBM,Specialization,3 - 6 Months,4.5,792,Beginner,https://www.coursera.org/specializations/software-engineering-fundamentals,3076.0,"['Linux', 'Software Design and Architecture', 'Python Programming', 'Git and GitHub', 'Software Development Lifecycle (SDLC)']"
Architecting with Google Compute Engine,Google Cloud,Specialization,3 - 6 Months,4.6,35.8k,Intermediate,https://www.coursera.org/specializations/gcp-architecture,4621.0,"['Google Compute Engine', 'Virtual Machine', 'Network Architecture', 'Google Cloud Platform', 'Load Balancing', 'Virtual Private Network (VPN)', 'Autoscaling', 'Debugging', 'Cloud Storage', 'Data Store', 'Disaster Recovery', 'Site Reliability Engineering', 'Cloud Computing', 'Google App Engine (GAE)']"
Architecting with Google Kubernetes Engine,Google Cloud,Specialization,3 - 6 Months,4.7,56.7k,Beginner,https://www.coursera.org/specializations/architecting-google-kubernetes-engine,78577.0,"['Google Compute Engine', 'Google App Engine (GAE)', 'Google Cloud Platform', 'Cloud Computing']"
Arizona State University TESOL,Arizona State University,Professional Certificate,3 - 6 Months,4.7,48.8k,Beginner,https://www.coursera.org/professional-certificates/arizona-state-university-tesol,54360.0,"['EFL', 'English Language', 'TESOL', 'ESL', 'English language teaching']"
Arm Cortex-M Architecture and Software Development,Arm,Specialization,3 - 6 Months,4.9,18k,Intermediate,https://www.coursera.org/specializations/cortex-m-architecture-and-software-development,55089.0,"['Cortex-M', 'Assembly Language', 'Computer Architecture', 'Microcontroller', 'C Programming']"
Artificial Intelligence in Marketing,University of Virginia,Course,1 - 4 Weeks,4.7,84,Beginner,https://www.coursera.org/learn/uva-darden-artificial-intelligence-marketing,2997.0,"['Business Model', 'Digital Marketing', 'Network Effects', 'Marketing Strategy', 'Customer Engagement']"
Artificial Intelligence an Overview,Politecnico di Milano,Specialization,3 - 6 Months,4.5,144,Beginner,https://www.coursera.org/specializations/artificial-intelligence-overview,21486.0,"['Artificial Intelligence (AI)', 'Ethical issues of artificial intelligence', 'Machine Learning', 'Legal issues of artificial intelligence']"
Arts and Heritage Management,Universita Bocconi,Course,1 - 3 Months,4.5,177,Mixed,https://www.coursera.org/learn/arts-heritage,3002.0,"['Fundraising', 'Customer Relationship Management (CRM)', 'Management', 'Marketing']"
Ask Questions to Make Data-Driven Decisions,Google,Course,1 - 4 Weeks,4.8,1.3k,Beginner,https://www.coursera.org/learn/ask-questions-make-decisions,35382.0,"['Spreadsheet', 'Questioning', 'Decision-Making', 'Problem Solving', 'Data Analysis']"
Aspectos basicos de la asistencia tecnica,Google,Course,1 - 3 Months,4.7,28.4k,Beginner,https://www.coursera.org/learn/asistencia-tecnica,860755.0,"['Linux', 'Codigo binario', 'Solucion de problemas', 'Soporte al cliente']"
Aspectos basicos del diseno de la experiencia del usuario,Google,Course,1 - 4 Weeks,4.9,10.7k,Beginner,https://www.coursera.org/learn/aspectos-basicos-del-diseno-de-la-experiencia-del-usuario-ux,110266.0,"['Experiencia del usuario (UX)', 'Esquema', 'Diseno de la experiencia del usuario (UXD)', 'Investigacion en UX', 'Prototipo']"
"Aspectos basicos Datos, datos, en todas partes",Google,Course,1 - 3 Months,4.9,2.5k,Beginner,https://www.coursera.org/learn/aspectos-basicos-datos-datos-en-todas-partes,51857.0,"['Visualizacion de Datos (DataViz)', 'Limpieza de datos', 'Hoja de calculo', 'analisis de datos', 'SQL']"
Assess for Success Marketing Analytics and Measurement,Google,Course,1 - 4 Weeks,4.8,4.8k,Beginner,https://www.coursera.org/learn/assess-for-success,93593.0,"['Digital marketing KPIs', 'Spreadsheet management', 'Presenting to stakeholders', 'Media planning and strategies', 'Marketing Analytics']"
Assets in Accounting,Intuit,Course,1 - 4 Weeks,4.6,1k,Beginner,https://www.coursera.org/learn/accounting-assets,87946.0,"['Accounts receivable and cash receipts', 'Inventory costing methods', 'PPE Accounting', 'Asset Accounting', 'Depreciation']"
"Assets, Threats, and Vulnerabilities",Google,Course,1 - 4 Weeks,4.4,822,Beginner,https://www.coursera.org/learn/assets-threats-and-vulnerabilities,37403.0,"['vulnerability assessment', 'threat analysis', 'Authentication', 'Cryptography', 'asset classification']"
Astronomy Exploring Time and Space,University of Arizona,Course,1 - 3 Months,4.8,909,Beginner,https://www.coursera.org/learn/astro,66581.0,"['Solar Systems', 'Chemistry', 'Theory Of Relativity', 'Astrobiology']"
Attract and Engage Customers with Digital Marketing,Google,Course,1 - 4 Weeks,4.8,3.5k,Beginner,https://www.coursera.org/learn/attract-and-engage-customers,223416.0,"['Website Structure', 'Customer Awareness', 'Google', 'Search Engine Marketing', 'Search Engine Optimization (SEO)']"
Autodesk CADCAMCAE for Mechanical Engineering,Autodesk,Specialization,3 - 6 Months,4.7,517,Intermediate,https://www.coursera.org/specializations/autodesk-cad-cam-cae-mechanical-engineering,44843.0,"['Computer-Aided Engineering (CAE)', 'Manufacturing Process Management', 'Computed Aided Design', 'Computer-Aided Manufacturing', 'Mechanical Engineering']"
Autodesk Certified Professional AutoCAD for Design and Drafting Exam Prep,Autodesk,Course,1 - 4 Weeks,4.8,4.8k,Advanced,https://www.coursera.org/learn/autodesk-autocad-design-drafting,54405.0,"['Autocad', 'Design', 'Autodesk', 'Engineering', 'Computer-Aided Design (CAD)']"
